Date,Average City MPG
2000-01-01,16.04268292682927
2001-01-01,15.113636363636363
2002-01-01,14.877551020408163
2003-01-01,14.167701863354038
2004-01-01,15.24074074074074
2005-01-01,15.481132075471699
2006-01-01,15.792792792792794
2007-01-01,15.218274111675127
2008-01-01,16.311258278145694
2009-01-01,17.162650602409638
2010-01-01,18.96153846153846
2011-01-01,17.545454545454547
2012-01-01,17.41747572815534
2013-01-01,19.52777777777778
2014-01-01,20.384615384615383
2015-01-01,20.150442477876105
2016-01-01,20.636363636363637
2017-01-01,20.01769911504425
2018-01-01,21.522727272727273
2019-01-01,19.8
2020-01-01,18.35135135135135
2021-01-01,17.802325581395348
2022-01-01,17.402439024390244
2023-01-01,17.43859649122807
2024-01-01,16.833333333333332
