Date,Average City MPG
2000-01-01,17.666666666666668
2001-01-01,18.76923076923077
2002-01-01,18.724137931034484
2003-01-01,19.19047619047619
2004-01-01,19.567010309278352
2005-01-01,19.64814814814815
2006-01-01,19.49
2007-01-01,20.01063829787234
2008-01-01,20.02
2009-01-01,20.13274336283186
2010-01-01,20.366071428571427
2011-01-01,20.116504854368934
2012-01-01,23.824175824175825
2013-01-01,22.31896551724138
2014-01-01,23.28205128205128
2015-01-01,23.884615384615383
2016-01-01,25.404040404040405
2017-01-01,26.486486486486488
2018-01-01,25.816666666666666
2019-01-01,26.419354838709676
2020-01-01,27.983870967741936
2021-01-01,28.75
2022-01-01,28.140845070422536
2023-01-01,29.887323943661972
2024-01-01,29.50632911392405
