Date,Average City MPG
2016-01-01,99.0
2017-01-01,116.0
2018-01-01,124.0
2019-01-01,126.0
2020-01-01,133.33333333333334
2021-01-01,133.33333333333334
2022-01-01,112.85714285714286
2023-01-01,122.36363636363636
2024-01-01,121.91666666666667
